country,year,region,startdate,startfrac,enddate,endfrac,protesterviolence,location,participants,participantsizeindicator,protesteridentity,protesterdemand1,protesterdemand2,protesterdemand3,protesterdemand4,stateresponse1,stateresponse2,stateresponse3,stateresponse4,stateresponse5,stateresponse6,stateresponse7
Mozambique,2013,Africa,3/11/2013,2013.19,3/11/2013,2013.19,0,Maputo,>50,0,demobilized soldiers,labor wage dispute,,,,crowd dispersal,,,,,,
Mozambique,2013,Africa,3/20/2013,2013.21,3/20/2013,2013.21,1,Matola,100,1,protesters,police brutality,,,,crowd dispersal,shootings,,,,,
Mozambique,2013,Africa,10/31/2013,2013.83,10/31/2013,2013.83,0,Beira and Maputo,1000s,3,protesters,"political behavior, process",,,,ignore,,,,,,
Mozambique,2014,Africa,3/17/2014,2014.21,3/17/2014,2014.21,0,Lichinga,>50,0,residents,"political behavior, process",,,,ignore,,,,,,
Mozambique,2014,Africa,3/20/2014,2014.21,3/20/2014,2014.21,0,Maputo,>50,0,women s organisations,social restrictions,,,,ignore,,,,,,
Mozambique,2014,Africa,4/2/2014,2014.25,4/2/2014,2014.25,0,Maputo,1000,2,supporters of women s rights,social restrictions,,,,ignore,accomodation,,,,,
Mozambique,2014,Africa,8/8/2014,2014.6,8/8/2014,2014.6,0,Muiane,800,1,former workers,labor wage dispute,,,,ignore,,,,,,
Mozambique,2014,Africa,9/17/2014,2014.71,9/17/2014,2014.71,0,Quelimane,dozens,1,municipal cleaning staff,labor wage dispute,,,,ignore,,,,,,
Mozambique,2014,Africa,10/15/2014,2014.79,10/15/2014,2014.79,1,Beira,>50,1,renamo supporters,"political behavior, process",,,,crowd dispersal,,,,,,
Mozambique,2015,Africa,1/3/2015,2015.01,1/3/2015,2015.01,0,Maputo,100s,1,opposition protesters,"political behavior, process",,,,arrests,,,,,,
Mozambique,2015,Africa,3/7/2015,2015.18,3/7/2015,2015.18,0,Maputo,1000s,3,protesters,"political behavior, process",,,,crowd dispersal,,,,,,
Mozambique,2015,Africa,3/23/2015,2015.22,3/23/2015,2015.22,1,Maputo,50+,0,protesters,"political behavior, process",,,,crowd dispersal,arrests,,,,,
Mozambique,2015,Africa,3/25/2015,2015.23,3/25/2015,2015.23,1,Chimoio,50+,0,renamo supporters,"political behavior, process",,,,crowd dispersal,arrests,,,,,
Mozambique,2015,Africa,4/11/2015,2015.27,4/11/2015,2015.27,1,Nampula,50+,0,residents,police brutality,,,,arrests,crowd dispersal,,,,,
Mozambique,2016,Africa,1/20/2016,2016.06,1/22/2016,2016.06,1,Palmeiras,50+,0,community members,"political behavior, process",,,,shootings,killings,,,,,
Mozambique,2016,Africa,9/12/2016,2016.7,9/12/2016,2016.7,1,Nampula,1300+,2,protesters,"political behavior, process",,,,arrests,crowd dispersal,,,,,
Mozambique,2016,Africa,10/5/2016,2016.76,10/5/2016,2016.76,0,Cabo Delgado,100,1,community members,police brutality,,,,accomodation,,,,,,
Mozambique,2017,Africa,8/22/2017,2017.64,8/22/2017,2017.64,0,City of Nampula,50+,0,the opposition mozambique democratic movement mdm,removal of politician,,,,ignore,,,,,,
Mozambique,2017,Africa,10/2/2017,2017.75,10/2/2017,2017.75,1,Mandimba town,50+,0,protesters against alleged involvement of policemen in the murder of a local currency trader,police brutality,,,,shootings,killings,,,,,
Mozambique,2017,Africa,11/21/2017,2017.89,11/21/2017,2017.89,0,Quelimane,50+,0,"friends and colleagues of murdered musician max love, and militants of the opposition mozambique democratic movement mdm","political behavior, process",,,,ignore,,,,,,
Zambia,1990,Africa,6/25/1990,1990.48,6/27/1990,1990.48,1,Lusaka,thousands,3,students and people,"price increases, tax policy",,,,crowd dispersal,arrests,killings,,,,
Zambia,1991,Africa,3/14/1991,1991.2,3/14/1991,1991.2,0,Lusaka,3000,3,students,"political behavior, process",,,,ignore,accomodation,,,,,
Zambia,1992,Africa,1/23/1992,1992.06,1/23/1992,1992.06,1,Ndola,300,1,vendors,"political behavior, process",,,,crowd dispersal,,,,,,
Zambia,1992,Africa,2/13/1992,1992.12,2/13/1992,1992.12,0,Lusaka,300,1,workers,"price increases, tax policy",,,,arrests,,,,,,
Zambia,1992,Africa,8/4/1992,1992.59,8/4/1992,1992.59,0,Masala,300,1,wives of ndola copper refinery workers,"price increases, tax policy",,,,arrests,,,,,,
Zambia,1992,Africa,9/27/1992,1992.74,9/27/1992,1992.74,0,Lusaka,>1000,2,university students,"political behavior, process",,,,arrests,,,,,,
Zambia,1992,Africa,9/28/1992,1992.74,9/29/1992,1992.74,0,Lusaka,2000,3,university students,"political behavior, process",,,,shootings,killings,,,,,
Zambia,1993,Africa,3/18/1993,1993.21,3/18/1993,1993.21,1,Lusaka,Thousands,3,unemployed youths,"political behavior, process",,,,crowd dispersal,arrests,,,,,
Zambia,1994,Africa,1/27/1994,1994.07,1/27/1994,1994.07,0,Lusaka,>500,1,university students,"political behavior, process",,,,arrests,,,,,,
Zambia,1994,Africa,3/2/1994,1994.16,3/2/1994,1994.16,1,Lusaka,100,1,blind people,"political behavior, process",,,,arrests,,,,,,
Zambia,1994,Africa,5/17/1994,1994.37,5/17/1994,1994.37,1,Ndola,hundreds,1,vendors,police brutality,,,,crowd dispersal,,,,,,
Zambia,1994,Africa,9/29/1994,1994.74,9/29/1994,1994.74,0,Chipata,> 400,1,university students,"political behavior, process",,,,accomodation,,,,,,
Zambia,1995,Africa,2/27/1995,1995.16,2/27/1995,1995.16,0,Lusaka,hundreds,1,civil servants,labor wage dispute,,,,ignore,,,,,,
Zambia,1995,Africa,6/28/1995,1995.49,6/28/1995,1995.49,1,Chingola,Thousands,3,people,"political behavior, process",,,,crowd dispersal,beatings,shootings,killings,,,
Zambia,1995,Africa,8/1/1995,1995.59,8/3/1995,1995.59,1,Lusaka,>50,1,university students,"political behavior, process",,,,crowd dispersal,arrests,accomodation,,,,
Zambia,1996,Africa,3/18/1996,1996.21,3/18/1996,1996.21,1,Lusaka,>50,1,university students,"political behavior, process",,,,ignore,,,,,,
Zambia,1996,Africa,6/20/1996,1996.47,6/20/1996,1996.47,1,Lusaka,1000,2,supporters of the opposition united national independence party,"political behavior, process",,,,crowd dispersal,,,,,,
Zambia,1996,Africa,11/11/1996,1996.86,11/11/1996,1996.86,0,Lusaka,>50,1,university students,"political behavior, process",,,,crowd dispersal,arrests,,,,,
Zambia,1996,Africa,11/30/1996,1996.91,11/30/1996,1996.91,0,Lusaka,4000,3,opposition parties,removal of politician,"political behavior, process",,,ignore,,,,,,
Zambia,1996,Africa,12/30/1996,1996.99,12/30/1996,1996.99,0,Lusaka,1000,2,the united national independence party unip,"political behavior, process",,,,ignore,,,,,,
Zambia,1997,Africa,3/20/1997,1997.21,3/20/1997,1997.21,1,Lusaka,1000,2,university students,"political behavior, process",,,,crowd dispersal,arrests,,,,,
Zambia,1997,Africa,4/12/1997,1997.28,4/12/1997,1997.28,0,Lusaka,hundreds,1,journalists,"political behavior, process",,,,ignore,accomodation,,,,,
Zambia,1997,Africa,6/6/1997,1997.43,6/6/1997,1997.43,0,Lusaka,scores,0,former workers of the liquidated lima bank,labor wage dispute,,,,ignore,,,,,,
Zambia,1997,Africa,6/16/1997,1997.45,6/16/1997,1997.45,0,Lusaka,>1000,2,usaka city council lcc unionised workers,labor wage dispute,,,,ignore,,,,,,
Zambia,1997,Africa,7/15/1997,1997.54,7/16/1997,1997.54,1,Lusaka,scores,1,munali secondary school pupils,"political behavior, process",,,,crowd dispersal,,,,,,
Zambia,1997,Africa,7/28/1997,1997.57,7/28/1997,1997.57,0,Lusaka,1000,2,zambia railway workers,"political behavior, process",,,,ignore,,,,,,
Zambia,1997,Africa,7/30/1997,1997.58,7/30/1997,1997.58,0,Lusaka,scores,1,united national independence party unip member,"political behavior, process",,,,crowd dispersal,,,,,,
Zambia,1997,Africa,7/30/1997,1997.58,7/30/1997,1997.58,1,Lusaka,>50,1,supporters of the united national independence party unip,"political behavior, process",,,,crowd dispersal,arrests,,,,,
Zambia,1997,Africa,8/11/1997,1997.61,8/13/1997,1997.61,1,Lusaka,Thousands,3,vendors,"political behavior, process",,,,crowd dispersal,shootings,killings,arrests,,,
Zambia,1997,Africa,10/10/1997,1997.77,10/10/1997,1997.77,0,Lusaka,60,0,non civil servants,labor wage dispute,,,,ignore,,,,,,
Zambia,1997,Africa,10/11/1997,1997.78,10/11/1997,1997.78,0,Lusaka,>50,1,opposition unip,police brutality,,,,ignore,,,,,,
Zambia,1997,Africa,12/26/1997,1997.98,12/26/1997,1997.98,0,Lusaka,300,1,supporters of the former zambian president kenneth kaunda,"political behavior, process",,,,ignore,,,,,,
Zambia,1998,Africa,2/4/1998,1998.09,2/4/1998,1998.09,0,Lusaka,>50,0,salaula traders,"political behavior, process",,,,ignore,,,,,,
Zambia,1998,Africa,4/6/1998,1998.26,4/6/1998,1998.26,1,Kitwe,hundreds,1,university students,"political behavior, process",,,,crowd dispersal,,,,,,
Zambia,1998,Africa,9/3/1998,1998.67,9/3/1998,1998.67,1,Kafue Lusaka Road,500,1,nitrogen chemicals of zambia ncz workers,labor wage dispute,,,,crowd dispersal,ignore,,,,,
Zambia,1998,Africa,9/22/1998,1998.72,9/22/1998,1998.72,0,Lusaka,Thousands,3,teachers,labor wage dispute,"political behavior, process",,,crowd dispersal,,,,,,
Zambia,1998,Africa,12/8/1998,1998.93,12/8/1998,1998.93,1,Lusaka,hundreds,1,workers,labor wage dispute,,,,crowd dispersal,arrests,,,,,
Zambia,1999,Africa,3/1/1999,1999.16,3/1/1999,1999.16,0,Lusaka,1000s,3,students,"political behavior, process",,,,accomodation,,,,,,
Zambia,2001,Africa,4/21/2001,2001.3,4/21/2001,2001.3,0,Lusaka,15000,5,protesters,"political behavior, process",,,,ignore,,,,,,
Zambia,2001,Africa,5/2/2001,2001.33,5/2/2001,2001.33,0,Lusaka,>100,1,students,"political behavior, process",,,,ignore,,,,,,
Zambia,2001,Africa,5/5/2001,2001.34,5/5/2001,2001.34,0,Lusaka,3000,3,protesters,"political behavior, process",,,,crowd dispersal,killings,accomodation,,,,
Zambia,2001,Africa,12/30/2001,2001.99,12/30/2001,2001.99,0,Lusaka,1000s,3,movement for multiparty democracy,"political behavior, process",,,,ignore,,,,,,
Zambia,2002,Africa,1/1/2002,2002,1/1/2002,2002,1,Lusaka,1000s,3,united party for national development,"political behavior, process",,,,crowd dispersal,shootings,arrests,,,,
Zambia,2002,Africa,1/15/2002,2002.04,1/15/2002,2002.04,0,Lusaka,100s,1,movement for multiparty democracy,social restrictions,,,,arrests,,,,,,
Zambia,2003,Africa,6/18/2003,2003.46,6/18/2003,2003.46,1,Lusaka,2000,3,vendors,"political behavior, process",,,,crowd dispersal,,,,,,
Zambia,2003,Africa,9/8/2003,2003.68,9/8/2003,2003.68,0,Ndola,100s,1,workers,labor wage dispute,,,,crowd dispersal,,,,,,
Zambia,2004,Africa,2/18/2004,2004.13,2/18/2004,2004.13,0,Lusaka,5000,4,zambian congress of trade unions zctu and the federation of free trade unions of zambia fftuz,labor wage dispute,"price increases, tax policy",,,ignore,,,,,,
Zambia,2004,Africa,12/20/2004,2004.97,12/20/2004,2004.97,0,Lusaka,>100,1,protesters,"political behavior, process",,,,crowd dispersal,beatings,arrests,,,,
Zambia,2005,Africa,1/6/2005,2005.01,1/6/2005,2005.01,0,Lusaka,>50,0,"united party for national development upnd , the party for unity, development and democracy","political behavior, process",,,,ignore,,,,,,
Zambia,2005,Africa,5/16/2005,2005.38,5/18/2005,2005.38,1,Lusaka,>50,0,students,labor wage dispute,,,,crowd dispersal,arrests,shootings,,,,
Zambia,2005,Africa,7/9/2005,2005.52,7/9/2005,2005.52,1,Chibombo,>50,0,students,"political behavior, process",,,,crowd dispersal,arrests,,,,,
Zambia,2005,Africa,11/1/2005,2005.83,11/1/2005,2005.83,0,Lusaka,10000s,5,"civil society organizations, student groups, trade unions and opposition political parties","political behavior, process",,,,ignore,,,,,,
Zambia,2005,Africa,12/10/2005,2005.94,12/10/2005,2005.94,0,Lusaka,1000s,3,the oasis forum,"political behavior, process",,,,ignore,,,,,,
Zambia,2006,Africa,6/22/2006,2006.47,6/22/2006,2006.47,1,Lusaka,>50,0,students,labor wage dispute,,,,crowd dispersal,arrests,,,,,
Zambia,2006,Africa,10/1/2006,2006.75,10/1/2006,2006.75,1,Lusaka,>50,0,protesters,"political behavior, process",,,,crowd dispersal,,,,,,
Zambia,2008,Africa,11/13/2008,2008.87,11/13/2008,2008.87,1,Kitwe,>50,0,protesters,police brutality,,,,arrests,,,,,,
Zambia,2009,Africa,5/2/2009,2009.33,5/2/2009,2009.33,0,Kitwe,6000,4,jobless miners and patriotic front pf,labor wage dispute,,,,ignore,,,,,,
Zambia,2009,Africa,8/7/2009,2009.6,8/7/2009,2009.6,0,Lusaka,400,1,reporters,police brutality,,,,ignore,,,,,,
Zambia,2010,Africa,1/18/2010,2010.05,1/18/2010,2010.05,1,Kabwe,>50,0,students,"political behavior, process",,,,crowd dispersal,arrests,,,,,
Zambia,2010,Africa,2/25/2010,2010.15,2/25/2010,2010.15,0,Chipata,300,1,students,removal of politician,,,,ignore,,,,,,
Zambia,2011,Africa,2/15/2011,2011.12,2/15/2011,2011.12,1,Kitwe,>50,0,protesters,removal of politician,,,,arrests,,,,,,
Zambia,2011,Africa,2/23/2011,2011.15,2/23/2011,2011.15,1,Livingstone,>50,0,bus and taxi drivers,"price increases, tax policy",,,,crowd dispersal,,,,,,
Zambia,2011,Africa,4/18/2011,2011.29,4/18/2011,2011.29,0,Ndola,65,0,lectures,labor wage dispute,,,,accomodation,,,,,,
Zambia,2011,Africa,9/22/2011,2011.72,9/22/2011,2011.72,1,"Bulangililo, Chamboli, Mulenga, Wusakili, Lusaka, Kitwe and Ndola",100s,1,patriotic front,"political behavior, process",,,,crowd dispersal,shootings,arrests,,,,
Zambia,2011,Africa,10/4/2011,2011.76,10/4/2011,2011.76,0,Ndola,>50,0,construction workers of the new levy mwanawasa stadium,labor wage dispute,,,,ignore,,,,,,
Zambia,2011,Africa,11/8/2011,2011.85,11/9/2011,2011.85,0,Livingstone,300,1,students,"political behavior, process",,,,ignore,,,,,,
Zambia,2012,Africa,2/28/2012,2012.16,2/28/2012,2012.16,0,Lusaka,>50,0,bus drivers,removal of politician,,,,ignore,,,,,,
Zambia,2012,Africa,4/18/2012,2012.32,4/28/2012,2012.32,0,Lusaka,>50,0,zambia national building society znbs,labor wage dispute,,,,ignore,,,,,,
Zambia,2012,Africa,7/9/2012,2012.52,7/9/2012,2012.52,0,Kitwe,100s,1,vendors,"political behavior, process",,,,accomodation,,,,,,
Zambia,2012,Africa,10/3/2012,2012.75,10/3/2012,2012.75,1,Lusaka,>50,0,protesters,land farm issue,,,,crowd dispersal,,,,,,
Zambia,2012,Africa,10/15/2012,2012.79,10/15/2012,2012.79,0,Ndola,>50,0,workers,labor wage dispute,,,,shootings,beatings,,,,,
Zambia,2012,Africa,11/9/2012,2012.86,11/9/2012,2012.86,1,Mpulungu,>50,0,protesters,police brutality,,,,crowd dispersal,arrests,,,,,
Zambia,2013,Africa,1/2/2013,2013,1/2/2013,2013,0,Kabwe,>50,0,taxi drivers,"political behavior, process",,,,ignore,,,,,,
Zambia,2013,Africa,6/17/2013,2013.46,6/17/2013,2013.46,0,Lusaka,>50,0,bus drivers,police brutality,,,,arrests,,,,,,
Zambia,2013,Africa,12/13/2013,2013.95,12/14/2013,2013.95,0,Lusaka,>50,0,university of zambia students union,labor wage dispute,"political behavior, process",,,crowd dispersal,arrests,,,,,
Zambia,2013,Africa,12/18/2013,2013.96,12/18/2013,2013.96,1,Kitwe,>50,0,taxi drivers,"political behavior, process",,,,crowd dispersal,,,,,,
Zambia,2014,Africa,1/3/2014,2014.01,1/3/2014,2014.01,0,Lusaka,>50,0,bus drivers,"price increases, tax policy",,,,ignore,,,,,,
Zambia,2014,Africa,4/18/2014,2014.29,4/18/2014,2014.29,0,national,>50,1,bus drivers,"price increases, tax policy",,,,ignore,,,,,,
Zambia,2014,Africa,6/2/2014,2014.42,6/2/2014,2014.42,0,Lusaka,>50,0,university students,"price increases, tax policy",,,,crowd dispersal,beatings,,,,,
Zambia,2014,Africa,7/10/2014,2014.52,7/10/2014,2014.52,1,Mpika,>50,1,workers,labor wage dispute,,,,ignore,,,,,,
Zambia,2014,Africa,10/27/2014,2014.82,10/27/2014,2014.82,1,Lusaka,>50,1,university students,"political behavior, process",,,,crowd dispersal,beatings,,,,,
Zambia,2014,Africa,10/30/2014,2014.83,10/30/2014,2014.83,0,Lusaka,hundreds,1,patriotic front cadres,"political behavior, process",,,,ignore,,,,,,
Zambia,2014,Africa,11/4/2014,2014.84,11/4/2014,2014.84,1,Lusaka,>50,1,the patriotic front pf,"political behavior, process",,,,crowd dispersal,,,,,,
Zambia,2014,Africa,11/14/2014,2014.87,11/16/2014,2014.87,1,Lusaka,hundreds,1,university students,"political behavior, process",,,,crowd dispersal,beatings,arrests,,,,
Zambia,2014,Africa,12/24/2014,2014.98,12/24/2014,2014.98,0,Serenje district,>50,1,farmers,labor wage dispute,,,,ignore,,,,,,
Zambia,2016,Africa,1/4/2016,2016.01,1/4/2016,2016.01,1,Kafue,50,0,community members,police brutality,,,,shootings,killings,arrests,,,,
Zambia,2016,Africa,1/25/2016,2016.07,1/25/2016,2016.07,1,Choma,50,0,united party for national development,"political behavior, process",,,,crowd dispersal,arrests,,,,,
Zambia,2016,Africa,2/7/2016,2016.1,2/7/2016,2016.1,1,Lusaka,50,0,mmd factions,"political behavior, process",,,,crowd dispersal,,,,,,
Zambia,2016,Africa,2/23/2016,2016.14,2/23/2016,2016.14,0,Kabwe,50+,0,traders; marketeers,"political behavior, process",,,,accomodation,,,,,,
Zambia,2016,Africa,6/22/2016,2016.47,6/22/2016,2016.47,0,Bwinjimfumu Road,50+,0,united party for national development,"political behavior, process",social restrictions,,,crowd dispersal,,,,,,
Zambia,2016,Africa,8/17/2016,2016.63,8/17/2016,2016.63,1,Zingalume; George; Matero,50,0,community members,"political behavior, process",social restrictions,,,ignore,,,,,,
Zambia,2017,Africa,9/26/2017,2017.73,9/26/2017,2017.73,1,Ndola,50+,0,protesters claiming that traffic police officers had caused the death of a vendor,police brutality,,,,crowd dispersal,,,,,,
Zambia,2018,Africa,1/20/2018,2018.05,1/21/2018,2018.05,0,Zambia,50+,0,protesters marching for women s empowerment,social restrictions,,,,ignore,,,,,,
Zambia,2018,Africa,11/13/2018,2018.87,11/13/2018,2018.87,0,"Kitwe City, Copperbelt Province",50+,0,zambian miners,"political behavior, process",,,,accomodation,,,,,,
Zambia,2019,Africa,7/20/2019,2019.55,7/20/2019,2019.55,0,Lusaka,100s,1,protesters campaigning against corruption in president edgar lungu s government,"political behavior, process",,,,ignore,,,,,,
Zimbabwe,1990,Africa,1/8/1990,1990.02,1/9/1990,1990.02,0,Bulawayo,100,1,disabled men and women,"political behavior, process",,,,beatings,,,,,,
Zimbabwe,1990,Africa,4/25/1990,1990.31,4/25/1990,1990.31,0,Harare,500,1,nurses,labor wage dispute,,,,arrests,,,,,,
Zimbabwe,1990,Africa,6/5/1990,1990.43,6/7/1990,1990.43,0,Harare and Bulawayo,Thousands,3,teachers,labor wage dispute,,,,ignore,crowd dispersal,,,,,
Zimbabwe,1990,Africa,10/25/1990,1990.82,10/29/1990,1990.82,1,Harare,hundreds,1,university students,"political behavior, process",,,,crowd dispersal,beatings,arrests,accomodation,,,
Zimbabwe,1991,Africa,7/29/1991,1991.57,7/29/1991,1991.57,0,Harare,>50,0,the zimbabwe unity movement zum,"political behavior, process",,,,ignore,,,,,,
Zimbabwe,1991,Africa,10/17/1991,1991.79,10/18/1991,1991.79,1,Harare,>50,1,university students,"political behavior, process",,,,crowd dispersal,beatings,,,,,
Zimbabwe,1992,Africa,5/6/1992,1992.35,5/7/1992,1992.35,1,Harare,>50,1,university students,"political behavior, process",,,,crowd dispersal,beatings,,,,,
Zimbabwe,1992,Africa,5/27/1992,1992.41,5/29/1992,1992.41,1,Harare,hundreds,1,university students,"political behavior, process",,,,crowd dispersal,arrests,,,,,
Zimbabwe,1993,Africa,3/15/1993,1993.2,3/15/1993,1993.2,0,Harare,>300,1,university students,removal of politician,,,,ignore,,,,,,
Zimbabwe,1993,Africa,6/7/1993,1993.43,6/7/1993,1993.43,0,Harare,>100,1,women from the ruling zanu pf party,"political behavior, process",,,,ignore,,,,,,
Zimbabwe,1993,Africa,9/23/1993,1993.73,9/23/1993,1993.73,1,Harare  suburbs,>50,1,youths and women,"price increases, tax policy",,,,crowd dispersal,beatings,,,,,
Zimbabwe,1993,Africa,10/6/1993,1993.76,10/6/1993,1993.76,0,Harare,hundreds,1,banking employees,labor wage dispute,,,,ignore,,,,,,
Zimbabwe,1994,Africa,3/29/1994,1994.24,3/29/1994,1994.24,0,Harare,>50,1,university students,"political behavior, process",,,,crowd dispersal,,,,,,
Zimbabwe,1994,Africa,7/16/1994,1994.54,7/16/1994,1994.54,0,Harare,400,1,teachers,labor wage dispute,,,,ignore,,,,,,
Zimbabwe,1994,Africa,7/28/1994,1994.57,7/28/1994,1994.57,1,Harare,hundreds,1,banking employees,labor wage dispute,,,,crowd dispersal,,,,,,
Zimbabwe,1995,Africa,1/5/1995,1995.01,1/5/1995,1995.01,0,Harare,hundreds,1,"black businessmen, workers and university students",social restrictions,,,,ignore,,,,,,
Zimbabwe,1995,Africa,4/6/1995,1995.26,4/6/1995,1995.26,0,Harare,hundreds,1,united parties members,"political behavior, process",,,,crowd dispersal,,,,,,
Zimbabwe,1995,Africa,6/29/1995,1995.49,6/29/1995,1995.49,1,Harare,hundreds,1,university students,"political behavior, process",,,,crowd dispersal,beatings,arrests,,,,
Zimbabwe,1995,Africa,7/18/1995,1995.54,7/18/1995,1995.54,0,Harare,2000,3,"university of zimbabwe students, lecturers and non academic staff","political behavior, process",police brutality,,,ignore,,,,,,
Zimbabwe,1995,Africa,7/20/1995,1995.55,7/20/1995,1995.55,0,Harare,hundreds,1,university students,"political behavior, process",,,,accomodation,,,,,,
Zimbabwe,1995,Africa,7/24/1995,1995.56,7/24/1995,1995.56,0,Harare,hundreds,1,university students,"political behavior, process",removal of politician,,,crowd dispersal,,,,,,
Zimbabwe,1995,Africa,8/11/1995,1995.61,8/11/1995,1995.61,0,Harare,100,1,the national coalition for gay and lesbian equality,social restrictions,,,,ignore,,,,,,
Zimbabwe,1995,Africa,11/10/1995,1995.86,11/10/1995,1995.86,1,Harare,>50,0,people,police brutality,,,,crowd dispersal,,,,,,
Zimbabwe,1996,Africa,3/29/1996,1996.24,3/29/1996,1996.24,0,Harare,>50,0,opposition united parties up supporters,removal of politician,,,,ignore,,,,,,
Zimbabwe,1996,Africa,4/27/1996,1996.32,4/27/1996,1996.32,0,"Harare, Bulawayo, Gweru, Mutare, Masvingo and Chinoyi",Thousands,3,trade unionists & workers,"political behavior, process",,,,ignore,,,,,,
Zimbabwe,1996,Africa,7/30/1996,1996.58,7/30/1996,1996.58,0,Harare,hundreds,1,university students,"political behavior, process",,,,crowd dispersal,,,,,,
Zimbabwe,1996,Africa,8/28/1996,1996.67,9/4/1996,1996.67,0,national,Thousands,4,civil servants,labor wage dispute,,,,ignore,accomodation,,,,,
Zimbabwe,1996,Africa,11/7/1996,1996.85,11/8/1996,1996.85,1,Harare,hundreds,1,university students,"political behavior, process",,,,crowd dispersal,beatings,arrests,,,,
Zimbabwe,1996,Africa,11/11/1996,1996.86,11/11/1996,1996.86,0,Harare,100,1,people,"political behavior, process",,,,crowd dispersal,,,,,,
Zimbabwe,1997,Africa,4/24/1997,1997.31,4/25/1997,1997.31,1,Harare,>50,0,university students,"political behavior, process",,,,crowd dispersal,,,,,,
Zimbabwe,1997,Africa,11/11/1997,1997.86,11/11/1997,1997.86,0,Harare,300,1,war veterans,"political behavior, process",,,,ignore,,,,,,
Zimbabwe,1997,Africa,12/8/1997,1997.93,12/8/1997,1997.93,0,15km east of Harare along the Nyamapanda road,Thousands,3,farm workers,labor wage dispute,,,,crowd dispersal,,,,,,
Zimbabwe,1997,Africa,12/9/1997,1997.94,12/9/1997,1997.94,1,Harare and other major cities,Thousands,3,workers,"price increases, tax policy",labor wage dispute,,,crowd dispersal,,,,,,
Zimbabwe,1997,Africa,12/10/1997,1997.94,12/10/1997,1997.94,0,Bulawayo,30000,5,workers,"price increases, tax policy",,,,ignore,,,,,,
Zimbabwe,1998,Africa,1/19/1998,1998.05,1/20/1998,1998.05,1,Harare  suburbs,>1000,2,people,"price increases, tax policy",,,,crowd dispersal,accomodation,killings,arrests,,,
Zimbabwe,1998,Africa,3/9/1998,1998.18,3/9/1998,1998.18,0,Harare,400,1,university students,"political behavior, process",,,,crowd dispersal,beatings,,,,,
Zimbabwe,1998,Africa,4/22/1998,1998.31,4/24/1998,1998.31,1,Harare  university campus,>50,1,university students,"political behavior, process",,,,crowd dispersal,shootings,,,,,
Zimbabwe,1998,Africa,4/30/1998,1998.33,4/30/1998,1998.33,0,Harare,Thousands,3,university students,removal of politician,,,,ignore,,,,,,
Zimbabwe,1998,Africa,5/29/1998,1998.41,5/29/1998,1998.41,0,Harare,Thousands,3,university students,"political behavior, process",removal of politician,,,ignore,crowd dispersal,,,,,
Zimbabwe,1998,Africa,10/23/1998,1998.81,10/25/1998,1998.81,1,Harare,>50,1,harare municipal workers,labor wage dispute,,,,ignore,,,,,,
Zimbabwe,1998,Africa,10/31/1998,1998.83,10/31/1998,1998.83,0,Harare,50,0,the national constitution assembly nca,"political behavior, process",,,,crowd dispersal,,,,,,
Zimbabwe,1998,Africa,11/4/1998,1998.86,11/11/1998,1998.86,1,"Harare, Bulawayo, Chitungwiza and Gweru",hundreds,1,people,"price increases, tax policy",,,,crowd dispersal,,,,,,
Zimbabwe,1998,Africa,11/11/1998,1998.86,11/11/1998,1998.86,1,"Mutare, Harare, Chinhoyi",Thousands,3,workers,"price increases, tax policy",labor wage dispute,,,crowd dispersal,shootings,killings,,,,
Zimbabwe,1999,Africa,1/26/1999,1999.07,1/26/1999,1999.07,0,Harare,300,1,lawyers,police brutality,,,,crowd dispersal,beatings,,,,,
Zimbabwe,1999,Africa,2/10/1999,1999.11,2/10/1999,1999.11,1,Harare,100s,1,students,labor wage dispute,"political behavior, process",,,crowd dispersal,,,,,,
Zimbabwe,1999,Africa,12/11/1999,1999.94,12/11/1999,1999.94,0,Harare,700,1,lawyers and academics,"political behavior, process",,,,crowd dispersal,,,,,,
Zimbabwe,2000,Africa,4/2/2000,2000.25,4/2/2000,2000.25,1,Bulawayo and Harare,1000s,3,national constitutional association,"political behavior, process",,,,crowd dispersal,,,,,,
Zimbabwe,2000,Africa,4/9/2000,2000.27,4/9/2000,2000.27,1,Norton,1000,2,movement for democratic change,"political behavior, process",,,,ignore,,,,,,
Zimbabwe,2000,Africa,5/2/2000,2000.33,5/2/2000,2000.33,1,Harare,300,1,zimbabwe war veterans association,"political behavior, process",,,,ignore,,,,,,
Zimbabwe,2000,Africa,5/12/2000,2000.36,5/12/2000,2000.36,0,Harare,100,1,women,police brutality,,,,ignore,,,,,,
Zimbabwe,2000,Africa,7/20/2000,2000.55,7/20/2000,2000.55,0,Harare,1000s,3,protesters,"political behavior, process",,,,ignore,,,,,,
Zimbabwe,2000,Africa,10/17/2000,2000.79,10/17/2000,2000.79,1,National,100s,1,national constitutional association,"price increases, tax policy",,,,crowd dispersal,,,,,,
Zimbabwe,2001,Africa,2/3/2001,2001.09,2/3/2001,2001.09,0,Harare,100,1,journalists,police brutality,,,,crowd dispersal,beatings,,,,,
Zimbabwe,2002,Africa,4/6/2002,2002.26,4/6/2002,2002.26,0,"Mutare, Bulawayo and Harare",>50,0,"a coalition of student and church groups, political parties and human rights organizations","political behavior, process",,,,crowd dispersal,arrests,beatings,,,,
